posizione,titolo,autore,url,rating,numero_recensioni,categoria,editore_anno,disponibilita
1,Come se ne esce. Il mondo dopo Donald Trump,Francesco Costa,https://www.ibs.it/come-se-ne-esce-mondo-libro-francesco-costa/e/9788804776895,0,0,"Società, politica e comunicazione","Mondadori, 2026",Disponibile dal 8 settembre 2026
2,Calde le pere! Storia di un fiume e di una integerrima fanciulla,Francesco Guccini,https://www.ibs.it/calde-pere-storia-di-fiume-libro-francesco-guccini/e/9791223286869,0,0,Narrativa italiana,"Giunti Editore, 2026",Disponibilità immediata
3,La figlia,Clara Usón,https://www.ibs.it/figlia-libro-clara-uson/e/9788838929120,4,27,Narrativa straniera,"Sellerio Editore Palermo, 2026",Disponibile dal 16 settembre 2026
4,I convitati di pietra,Michele Mari,https://www.ibs.it/convitati-di-pietra-libro-michele-mari/e/9788806271978,3,71,Narrativa italiana,"Einaudi, 2026",Disponibilità immediata
5,Il sole nelle pozzanghere,Matteo Bussola,https://www.ibs.it/sole-nelle-pozzanghere-libro-matteo-bussola/e/9788806271305,4,13,Narrativa italiana,"Einaudi, 2026",Disponibile in 5 gg lavorativi
6,Gli anni in bianco e nero,Francesca Giannone,https://www.ibs.it/anni-in-bianco-nero-libro-francesca-giannone/e/9788842935759,5,25,Narrativa italiana,"Nord, 2026",Disponibilità immediata
7,First lady per caso,Felicia Kingsley,https://www.ibs.it/first-lady-per-caso-libro-felicia-kingsley/e/9791224206385,0,0,Narrativa erotica e rosa,"Newton Compton Editori, 2026",Disponibilità immediata
8,La sonnambula,Bianca Pitzorno,https://www.ibs.it/sonnambula-libro-bianca-pitzorno/e/9788830153097,4,24,Narrativa italiana,"Bompiani, 2026",Disponibilità immediata
9,Tutti i colori del buio,Chris Whitaker,https://www.ibs.it/tutti-colori-del-buio-libro-chris-whitaker/e/9788806256340,4,12,"Gialli, thriller, horror","Einaudi, 2026",Disponibile in 3 gg lavorativi
10,Accogliere con gli albi illustrati. Educare alla pluralità nella Scuola dell'infanzia e nella primaria,Antonella Capetti,https://www.ibs.it/accogliere-con-albi-illustrati-educare-libro-antonella-capetti-sandra-minciotti/e/9791256031801,0,0,Educazione e formazione,"Sanoma, 2026",Disponibile in 5 gg lavorativi
11,Magnifica humanitas. Lettera Enciclica sulla custodia della persona umana nel tempo dell’intelligenza artificiale,Leone XIV (Robert Francis Prevost),https://www.ibs.it/magnifica-humanitas-lettera-enciclica-sulla-libro-leone-xiv-robert-francis-prevost/e/9788826610931,5,14,"Società, politica e comunicazione","Libreria Editrice Vaticana, 2026",Disponibilità immediata
12,Soltanto il giorno,Santina Cosetta,https://www.ibs.it/soltanto-giorno-libro-santina-cosetta/e/9791223232323,4,5,Narrativa italiana,"Giunti Editore, 2026",Disponibilità immediata
13,L'inverno della levatrice,Ariel Lawhon,https://www.ibs.it/inverno-della-levatrice-libro-ariel-lawhon/e/9788854533387,5,17,"Gialli, thriller, horror","Neri Pozza, 2026",Disponibilità immediata
14,Una vita come tante,Hanya Yanagihara,https://www.ibs.it/vita-come-tante-libro-hanya-yanagihara/e/9788838935688,4,357,Narrativa straniera,"Sellerio Editore Palermo, 2016",Disponibilità immediata
15,Murdoku. 80 omicidi misteriosi da risolvere con la logica. Il primo libro che unisce crime e sudoku,Manuel Garand,https://www.ibs.it/murdoku-80-omicidi-misteriosi-da-libro-manuel-garand/e/9791259578839,5,4,"Casa, hobby e cucina","Magazzini Salani, 2026",Disponibile dal 8 settembre 2026
16,Kolchoz,Emmanuel Carrère,https://www.ibs.it/kolchoz-libro-emmanuel-carrere/e/9788845941009,4,20,Narrativa straniera,"Adelphi, 2026",Disponibilità immediata
17,Tutti in questa banca sono ladri,Benjamin Stevenson,https://www.ibs.it/tutti-in-questa-banca-sono-libro-benjamin-stevenson/e/9788807037191,0,0,Narrativa straniera,"Feltrinelli, 2026",Disponibilità immediata
18,Il ladro di zucche. Ediz. a colori,Alice Hemming,https://www.ibs.it/ladro-di-zucche-ediz-a-libro-alice-hemming/e/9788829608959,0,0,Bambini e ragazzi,"Emme Edizioni, 2026",Disponibilità immediata
19,Ci basterà mangiare il vento,Gianluca Gotto,https://www.ibs.it/ci-bastera-mangiare-vento-libro-gianluca-gotto/e/9788804807278,5,7,Narrativa italiana,"Mondadori, 2026",Disponibilità immediata
20,"Max, Mischa e l'offensiva del Tet",Johan Harstad,https://www.ibs.it/max-mischa-offensiva-del-tet-libro-johan-harstad/e/9788838949968,4,3,Narrativa straniera,"Sellerio Editore Palermo, 2026",Disponibile dal 15 settembre 2026
21,Il tempo dell'orologiaio,Maurizio de Giovanni,https://www.ibs.it/tempo-dell-orologiaio-libro-maurizio-de-giovanni/e/9788807037375,4,11,Narrativa italiana,"Feltrinelli, 2026",Disponibilità immediata
22,La ricreazione è finita,Dario Ferrari,https://www.ibs.it/ricreazione-finita-libro-dario-ferrari/e/9788838944703,4,49,Narrativa italiana,"Sellerio Editore Palermo, 2023",Disponibile in 4 gg lavorativi
23,La cura,Concita De Gregorio,https://www.ibs.it/cura-libro-concita-de-gregorio/e/9788806272555,5,6,Biografie,"Einaudi, 2026",Disponibilità immediata
24,Odissea,Omero,https://www.ibs.it/odissea-libro-omero/e/9788831743006,5,12,"Classici, poesia, teatro e critica","Marsilio, 2026",Disponibilità immediata
25,Fiori per Algernon,Daniel Keyes,https://www.ibs.it/fiori-per-algernon-libro-daniel-keyes/e/9788850241910,5,65,Narrativa straniera,"TEA, 2016",Disponibilità immediata
26,Il lupo che voleva cambiare colore. Amico lupo. Ediz. illustrata,Orianne Lallemand,https://www.ibs.it/lupo-che-voleva-cambiare-colore-libro-orianne-lallemand/e/9788858037218,5,19,Bambini e ragazzi,"Gribaudo, 2021",Disponibile in 5 gg lavorativi
27,La sposa gitana. Il primo caso dell'ispettrice Elena Blanco,Carmen Mola,https://www.ibs.it/sposa-gitana-primo-caso-dell-libro-carmen-mola/e/2000000170626,0,0,Narrativa straniera,"TEA, 2026",Attualmente non disponibile
28,Ed è un poco la notte e un poco l'alba,Ilaria Tuti,https://www.ibs.it/ed-poco-notte-poco-alba-libro-ilaria-tuti/e/9788830463721,5,23,Narrativa italiana,"Longanesi, 2026",Disponibilità immediata
29,I tramezzini di Rocco Schiavone,Antonio Manzini,https://www.ibs.it/tramezzini-di-rocco-schiavone-libro-antonio-manzini/e/9788838949951,5,33,Narrativa italiana,"Sellerio Editore Palermo, 2026",Disponibilità immediata
30,Contro il fatalismo,David Foster Wallace,https://www.ibs.it/contro-fatalismo-libro-david-foster-wallace/e/9788806269968,0,0,"Classici, poesia, teatro e critica","Einaudi, 2026",Disponibilità immediata
31,Il linguaggio segreto delle carezze,Thrity Umrigar,https://www.ibs.it/linguaggio-segreto-delle-carezze-libro-thrity-umrigar/e/9791282435147,0,0,Narrativa straniera,"Libreria Pienogiorno, 2026",Disponibilità immediata
32,Sotto mentite spoglie,Antonio Manzini,https://www.ibs.it/sotto-mentite-spoglie-libro-antonio-manzini/e/9788838948978,4,43,Narrativa italiana,"Sellerio Editore Palermo, 2025",Disponibilità immediata
