posizione,titolo,autore,url,rating,numero_recensioni,categoria,editore_anno
"1,Calde le pere! Storia di un fiume e di una integerrima fanciulla,Francesco Guccini,https://www.ibs.it/calde-pere-storia-di-fiume-libro-francesco-guccini/e/9791223286869,0,0,Narrativa italiana,""Giunti Editore, 2026"""
"2,La scala di seta,Marco Malvaldi,https://www.ibs.it/scala-di-seta-libro-marco-malvaldi-samantha-bruzzone/e/9788838950353,0,0,Narrativa italiana,""Sellerio Editore Palermo, 2026"""
"3,Come se ne esce. Il mondo dopo Donald Trump,Francesco Costa,https://www.ibs.it/come-se-ne-esce-mondo-libro-francesco-costa/e/9788804776895,0,0,""Società, politica e comunicazione"",""Mondadori, 2026"""
"4,La donna in bianco. Ediz. integrale,Wilkie Collins,https://www.ibs.it/donna-in-bianco-ediz-integrale-libro-wilkie-collins/e/9788822780195,5,24,Narrativa straniera,""Newton Compton Editori, 2023"""
"5,""Max, Mischa e l'offensiva del Tet"",Johan Harstad,https://www.ibs.it/max-mischa-offensiva-del-tet-libro-johan-harstad/e/9788838949968,4,3,Narrativa straniera,""Sellerio Editore Palermo, 2026"""
"6,I Lazar,Nelio Biedermann,https://www.ibs.it/lazar-libro-nelio-biedermann/e/9788823536104,0,0,Narrativa straniera,""Guanda, 2026"""
"7,Piccolo taccuino di fisica illustrata. L'Universo in tasca,Massimo Temporelli,https://www.ibs.it/piccolo-taccuino-di-fisica-illustrata-libro-massimo-temporelli/e/9788858059661,0,0,""Scienze, geografia, ambiente"",""Gribaudo, 2026"""
"8,Una ragazza fuori moda,Louisa May Alcott,https://www.ibs.it/ragazza-fuori-moda-libro-louisa-may-alcott/e/9788822780300,5,4,Narrativa straniera,""Newton Compton Editori, 2024"""
"9,Tutti i colori del buio,Chris Whitaker,https://www.ibs.it/tutti-colori-del-buio-libro-chris-whitaker/e/9788806256340,4,13,""Gialli, thriller, horror"",""Einaudi, 2026"""
"10,Ruggine e diamanti,Anne Holt,https://www.ibs.it/ruggine-diamanti-libro-anne-holt/e/9788806255183,0,0,Narrativa straniera,""Einaudi, 2026"""
"11,L'ultimo turno,Chris Pavone,https://www.ibs.it/ultimo-turno-libro-chris-pavone/e/9788807037139,3,10,Narrativa straniera,""Feltrinelli, 2026"""
"12,Il fattore gatto,Piergiorgio Pulixi,https://www.ibs.it/fattore-gatto-libro-piergiorgio-pulixi/e/9788829790135,0,0,Narrativa italiana,""Marsilio, 2026"""
"13,Magnifica humanitas. Lettera Enciclica sulla custodia della persona umana nel tempo dell’intelligenza artificiale,Leone XIV (Robert Francis Prevost),https://www.ibs.it/magnifica-humanitas-lettera-enciclica-sulla-libro-leone-xiv-robert-francis-prevost/e/9788826610931,5,14,""Società, politica e comunicazione"",""Libreria Editrice Vaticana, 2026"""
"14,Le perfezioni,Vincenzo Latronico,https://www.ibs.it/perfezioni-libro-vincenzo-latronico/e/9788806274504,3,10,Narrativa italiana,""Einaudi, 2026"""
"15,La versione delle margherite,Sarah Savioli,https://www.ibs.it/versione-delle-margherite-libro-sarah-savioli/e/9788807970160,0,0,Narrativa italiana,""Feltrinelli, 2026"""
"16,La lunga estate dei gelsomini,Licia Tumminello,https://www.ibs.it/lunga-estate-dei-gelsomini-libro-licia-tumminello/e/9788842938347,0,0,Narrativa italiana,""Nord, 2026"""
"17,Tutti in questa banca sono ladri,Benjamin Stevenson,https://www.ibs.it/tutti-in-questa-banca-sono-libro-benjamin-stevenson/e/9788807037191,0,0,Narrativa straniera,""Feltrinelli, 2026"""
"18,""Maschiacci e femminucce. Il rosa, l'azzurro e altri stereotipi di genere che non esistono in natura"",Fondazione Giulia Cecchettin,https://www.ibs.it/maschiacci-femminucce-rosa-azzurro-altri-libro-fondazione-giulia-cecchettin-irene-biemmi/e/9788817203258,0,0,""Salute, famiglia e benessere personale"",""Rizzoli, 2026"""
"19,Biologia e genetica. Manuale conforme al Syllabus per il semestre filtro 2026-2027. Con assistente virtuale,R. Alessandro,https://www.ibs.it/biologia-genetica-manuale-conforme-al-libro-vari/e/9788836232567,0,0,Medicina,""Edises, 2026"""
"20,Chimica e Propedeutica Biochimica. Manuale conforme al Syllabus per il semestre filtro 2026-2027. Con assistente virtuale,F. A. Bettelheim,https://www.ibs.it/chimica-propedeutica-biochimica-manuale-conforme-libro-vari/e/9788836232635,0,0,Medicina,""Edises, 2026"""
